instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,timespan
41,2011-01-02,spring,2011,1,17,0,Monday,0,1,13.940000000000001,16.665,56.99999999999999,12.998000000000001,7,58,65,office hour
42,2011-01-02,spring,2011,1,18,0,Monday,0,2,14.76,16.665,46.0,22.0028,10,43,53,non-office hour
43,2011-01-02,spring,2011,1,19,0,Monday,0,1,13.120000000000001,14.395,42.0,30.002599999999997,1,29,30,non-office hour
44,2011-01-02,spring,2011,1,20,0,Monday,0,1,12.299999999999999,13.635,39.0,23.9994,5,17,22,non-office hour
45,2011-01-02,spring,2011,1,21,0,Monday,0,1,10.66,11.365,44.0,22.0028,11,20,31,non-office hour
46,2011-01-02,spring,2011,1,22,0,Monday,0,1,9.84,10.605,44.0,19.999499999999998,0,9,9,non-office hour
47,2011-01-02,spring,2011,1,23,0,Monday,0,1,9.02,11.365,47.0,11.0014,0,8,8,non-office hour
48,2011-01-03,spring,2011,1,0,0,Tuesday,1,1,9.02,9.85,44.0,23.9994,0,5,5,non-office hour
49,2011-01-03,spring,2011,1,1,0,Tuesday,1,1,8.200000000000001,8.334999999999999,44.0,27.999299999999998,0,2,2,non-office hour
50,2011-01-03,spring,2011,1,4,0,Tuesday,1,1,6.5600000000000005,6.819999999999999,47.0,26.0027,0,1,1,non-office hour
51,2011-01-03,spring,2011,1,5,0,Tuesday,1,1,6.5600000000000005,6.819999999999999,47.0,19.0012,0,3,3,non-office hour
52,2011-01-03,spring,2011,1,6,0,Tuesday,1,1,5.74,5.305,50.0,26.0027,0,30,30,non-office hour
53,2011-01-03,spring,2011,1,7,0,Tuesday,1,1,5.74,6.819999999999999,50.0,12.998000000000001,1,63,64,non-office hour
54,2011-01-03,spring,2011,1,8,0,Tuesday,1,1,5.74,6.0600000000000005,50.0,19.0012,1,153,154,non-office hour
55,2011-01-03,spring,2011,1,9,0,Tuesday,1,1,6.5600000000000005,6.819999999999999,43.0,26.0027,7,81,88,office hour
56,2011-01-03,spring,2011,1,10,0,Tuesday,1,1,7.38,8.334999999999999,43.0,16.997899999999998,11,33,44,office hour
57,2011-01-03,spring,2011,1,11,0,Tuesday,1,1,8.200000000000001,9.09,40.0,22.0028,10,41,51,office hour
58,2011-01-03,spring,2011,1,12,0,Tuesday,1,1,9.02,10.605,35.0,19.999499999999998,13,48,61,office hour
59,2011-01-03,spring,2011,1,13,0,Tuesday,1,1,9.84,10.605,35.0,19.0012,8,53,61,office hour
60,2011-01-03,spring,2011,1,14,0,Tuesday,1,1,10.66,12.120000000000001,30.0,19.0012,11,66,77,office hour
61,2011-01-03,spring,2011,1,15,0,Tuesday,1,1,10.66,12.120000000000001,30.0,16.997899999999998,14,58,72,office hour
62,2011-01-03,spring,2011,1,16,0,Tuesday,1,1,10.66,12.120000000000001,30.0,16.997899999999998,9,67,76,office hour
63,2011-01-03,spring,2011,1,17,0,Tuesday,1,1,9.84,11.365,30.0,15.001299999999999,11,146,157,office hour
64,2011-01-03,spring,2011,1,18,0,Tuesday,1,1,9.84,12.879999999999999,32.0,7.0015,9,148,157,non-office hour
65,2011-01-03,spring,2011,1,19,0,Tuesday,1,1,8.200000000000001,12.879999999999999,47.0,0.0,8,102,110,non-office hour
66,2011-01-03,spring,2011,1,20,0,Tuesday,1,1,8.200000000000001,11.365,47.0,7.0015,3,49,52,non-office hour
67,2011-01-03,spring,2011,1,21,0,Tuesday,1,1,7.38,9.85,64.0,8.9981,3,49,52,non-office hour
68,2011-01-03,spring,2011,1,22,0,Tuesday,1,1,5.74,7.575,69.0,8.9981,0,20,20,non-office hour
69,2011-01-03,spring,2011,1,23,0,Tuesday,1,1,7.38,10.605,55.00000000000001,7.0015,1,11,12,non-office hour
70,2011-01-04,spring,2011,1,0,0,Wednesday,1,1,6.5600000000000005,9.09,55.00000000000001,7.0015,0,5,5,non-office hour
71,2011-01-04,spring,2011,1,1,0,Wednesday,1,1,6.5600000000000005,9.09,59.0,7.0015,0,2,2,non-office hour
72,2011-01-04,spring,2011,1,2,0,Wednesday,1,1,5.74,7.575,63.0,8.9981,0,1,1,non-office hour
73,2011-01-04,spring,2011,1,4,0,Wednesday,1,1,5.74,9.09,63.0,6.0032,0,2,2,non-office hour
74,2011-01-04,spring,2011,1,5,0,Wednesday,1,1,4.92,7.575,68.0,7.0015,0,4,4,non-office hour
75,2011-01-04,spring,2011,1,6,0,Wednesday,1,1,4.92,7.575,74.0,7.0015,0,36,36,non-office hour
76,2011-01-04,spring,2011,1,7,0,Wednesday,1,1,4.92,7.575,74.0,8.9981,2,92,94,non-office hour
77,2011-01-04,spring,2011,1,8,0,Wednesday,1,1,5.74,7.575,69.0,11.0014,2,177,179,non-office hour
78,2011-01-04,spring,2011,1,9,0,Wednesday,1,1,6.5600000000000005,7.575,64.0,15.001299999999999,2,98,100,office hour
79,2011-01-04,spring,2011,1,10,0,Wednesday,1,2,6.5600000000000005,6.819999999999999,69.0,22.0028,5,37,42,office hour
80,2011-01-04,spring,2011,1,11,0,Wednesday,1,1,9.02,10.605,51.0,19.999499999999998,7,50,57,office hour
81,2011-01-04,spring,2011,1,12,0,Wednesday,1,1,9.02,11.365,51.0,11.0014,12,66,78,office hour
82,2011-01-04,spring,2011,1,13,0,Wednesday,1,1,9.84,11.365,56.00000000000001,12.998000000000001,18,79,97,office hour
83,2011-01-04,spring,2011,1,14,0,Wednesday,1,1,10.66,12.879999999999999,52.0,15.001299999999999,9,54,63,office hour
84,2011-01-04,spring,2011,1,15,0,Wednesday,1,1,11.48,13.635,52.0,16.997899999999998,17,48,65,office hour
85,2011-01-04,spring,2011,1,16,0,Wednesday,1,1,12.299999999999999,14.395,49.0,16.997899999999998,15,68,83,office hour
86,2011-01-04,spring,2011,1,17,0,Wednesday,1,1,11.48,13.635,48.0,15.001299999999999,10,202,212,office hour
87,2011-01-04,spring,2011,1,18,0,Wednesday,1,1,10.66,12.879999999999999,48.0,12.998000000000001,3,179,182,non-office hour
88,2011-01-04,spring,2011,1,19,0,Wednesday,1,1,9.84,12.879999999999999,48.0,7.0015,2,110,112,non-office hour
89,2011-01-04,spring,2011,1,20,0,Wednesday,1,1,9.84,12.879999999999999,48.0,7.0015,1,53,54,non-office hour
90,2011-01-04,spring,2011,1,21,0,Wednesday,1,1,9.02,13.635,64.0,0.0,0,48,48,non-office hour
91,2011-01-04,spring,2011,1,22,0,Wednesday,1,1,9.02,12.879999999999999,64.0,6.0032,1,34,35,non-office hour
92,2011-01-04,spring,2011,1,23,0,Wednesday,1,1,8.200000000000001,11.365,69.0,6.0032,2,9,11,non-office hour
93,2011-01-05,spring,2011,1,0,0,Thursday,1,1,8.200000000000001,12.879999999999999,64.0,0.0,0,6,6,non-office hour
94,2011-01-05,spring,2011,1,1,0,Thursday,1,1,6.5600000000000005,9.85,74.0,6.0032,0,6,6,non-office hour
95,2011-01-05,spring,2011,1,2,0,Thursday,1,1,6.5600000000000005,9.85,74.0,6.0032,0,2,2,non-office hour
96,2011-01-05,spring,2011,1,4,0,Thursday,1,1,9.84,11.365,48.0,15.001299999999999,0,2,2,non-office hour
97,2011-01-05,spring,2011,1,5,0,Thursday,1,1,9.02,11.365,47.0,11.0014,0,3,3,non-office hour
98,2011-01-05,spring,2011,1,6,0,Thursday,1,1,8.200000000000001,9.85,47.0,15.001299999999999,0,33,33,non-office hour
99,2011-01-05,spring,2011,1,7,0,Thursday,1,1,7.38,9.09,43.0,12.998000000000001,1,87,88,non-office hour
100,2011-01-05,spring,2011,1,8,0,Thursday,1,1,8.200000000000001,9.09,40.0,19.999499999999998,3,192,195,non-office hour
101,2011-01-05,spring,2011,1,9,0,Thursday,1,1,9.02,9.85,37.0,22.0028,6,109,115,office hour
102,2011-01-05,spring,2011,1,10,0,Thursday,1,1,9.02,9.85,37.0,22.0028,4,53,57,office hour
103,2011-01-05,spring,2011,1,11,0,Thursday,1,1,10.66,11.365,33.0,22.0028,12,34,46,office hour
104,2011-01-05,spring,2011,1,12,0,Thursday,1,1,10.66,11.365,33.0,22.0028,5,74,79,office hour
105,2011-01-05,spring,2011,1,13,0,Thursday,1,1,11.48,12.879999999999999,30.0,19.999499999999998,6,65,71,office hour
106,2011-01-05,spring,2011,1,14,0,Thursday,1,1,12.299999999999999,14.395,28.000000000000004,12.998000000000001,10,52,62,office hour
107,2011-01-05,spring,2011,1,15,0,Thursday,1,1,12.299999999999999,14.395,28.000000000000004,12.998000000000001,7,55,62,office hour
108,2011-01-05,spring,2011,1,16,0,Thursday,1,1,12.299999999999999,15.909999999999998,28.000000000000004,6.0032,4,85,89,office hour
109,2011-01-05,spring,2011,1,17,0,Thursday,1,1,9.84,11.365,38.0,12.998000000000001,4,186,190,office hour
110,2011-01-05,spring,2011,1,18,0,Thursday,1,1,9.84,12.120000000000001,38.0,8.9981,3,166,169,non-office hour
111,2011-01-05,spring,2011,1,19,0,Thursday,1,1,9.84,12.879999999999999,38.0,7.0015,5,127,132,non-office hour
112,2011-01-05,spring,2011,1,20,0,Thursday,1,1,9.02,11.365,47.0,11.0014,7,82,89,non-office hour
113,2011-01-05,spring,2011,1,21,0,Thursday,1,1,8.200000000000001,9.85,51.0,12.998000000000001,3,40,43,non-office hour
114,2011-01-05,spring,2011,1,22,0,Thursday,1,1,7.38,9.85,55.00000000000001,8.9981,1,41,42,non-office hour
115,2011-01-05,spring,2011,1,23,0,Thursday,1,1,8.200000000000001,12.879999999999999,47.0,0.0,1,18,19,non-office hour
116,2011-01-06,spring,2011,1,0,0,Friday,1,1,7.38,12.120000000000001,55.00000000000001,0.0,0,11,11,non-office hour
117,2011-01-06,spring,2011,1,1,0,Friday,1,1,6.5600000000000005,11.365,64.0,0.0,0,4,4,non-office hour
118,2011-01-06,spring,2011,1,2,0,Friday,1,1,6.5600000000000005,11.365,64.0,0.0,0,2,2,non-office hour
119,2011-01-06,spring,2011,1,4,0,Friday,1,2,6.5600000000000005,9.85,64.0,6.0032,0,1,1,non-office hour
120,2011-01-06,spring,2011,1,5,0,Friday,1,2,5.74,9.09,69.0,6.0032,0,4,4,non-office hour
121,2011-01-06,spring,2011,1,6,0,Friday,1,2,5.74,8.334999999999999,63.0,7.0015,0,36,36,non-office hour
122,2011-01-06,spring,2011,1,7,0,Friday,1,2,6.5600000000000005,11.365,59.0,0.0,0,95,95,non-office hour
123,2011-01-06,spring,2011,1,8,0,Friday,1,1,6.5600000000000005,11.365,59.0,0.0,3,216,219,non-office hour
124,2011-01-06,spring,2011,1,9,0,Friday,1,2,7.38,12.120000000000001,51.0,0.0,6,116,122,office hour
125,2011-01-06,spring,2011,1,10,0,Friday,1,1,8.200000000000001,12.879999999999999,47.0,0.0,3,42,45,office hour
126,2011-01-06,spring,2011,1,11,0,Friday,1,1,9.02,12.879999999999999,44.0,6.0032,2,57,59,office hour
127,2011-01-06,spring,2011,1,12,0,Friday,1,1,10.66,14.395,35.0,0.0,6,78,84,office hour
128,2011-01-06,spring,2011,1,13,0,Friday,1,1,10.66,13.635,35.0,7.0015,12,55,67,office hour
129,2011-01-06,spring,2011,1,14,0,Friday,1,1,11.48,13.635,36.0,11.0014,11,59,70,office hour
130,2011-01-06,spring,2011,1,15,0,Friday,1,1,11.48,13.635,36.0,0.0,8,54,62,office hour
131,2011-01-06,spring,2011,1,16,0,Friday,1,1,10.66,12.879999999999999,38.0,11.0014,12,74,86,office hour
132,2011-01-06,spring,2011,1,17,0,Friday,1,1,9.02,11.365,51.0,11.0014,9,163,172,office hour
133,2011-01-06,spring,2011,1,18,0,Friday,1,1,9.02,11.365,51.0,8.9981,5,158,163,non-office hour
134,2011-01-06,spring,2011,1,19,0,Friday,1,1,9.02,12.879999999999999,55.00000000000001,6.0032,3,109,112,non-office hour
135,2011-01-06,spring,2011,1,20,0,Friday,1,1,8.200000000000001,10.605,51.0,11.0014,3,66,69,non-office hour
136,2011-01-06,spring,2011,1,21,0,Friday,1,2,9.02,10.605,55.00000000000001,15.001299999999999,0,48,48,non-office hour
137,2011-01-06,spring,2011,1,22,0,Friday,1,2,9.02,10.605,51.0,19.0012,1,51,52,non-office hour
138,2011-01-06,spring,2011,1,23,0,Friday,1,2,8.200000000000001,9.85,59.0,12.998000000000001,4,19,23,non-office hour
139,2011-01-07,spring,2011,1,0,0,Saturday,1,2,8.200000000000001,9.85,64.0,12.998000000000001,4,13,17,non-office hour
140,2011-01-07,spring,2011,1,1,0,Saturday,1,2,8.200000000000001,9.85,69.0,15.001299999999999,2,5,7,non-office hour
141,2011-01-07,spring,2011,1,2,0,Saturday,1,2,8.200000000000001,9.85,69.0,15.001299999999999,0,1,1,non-office hour
142,2011-01-07,spring,2011,1,4,0,Saturday,1,2,8.200000000000001,10.605,69.0,8.9981,0,1,1,non-office hour
143,2011-01-07,spring,2011,1,5,0,Saturday,1,3,9.02,13.635,55.00000000000001,0.0,0,5,5,non-office hour
144,2011-01-07,spring,2011,1,6,0,Saturday,1,2,8.200000000000001,12.879999999999999,69.0,0.0,8,26,34,non-office hour
145,2011-01-07,spring,2011,1,7,0,Saturday,1,1,8.200000000000001,10.605,69.0,8.9981,8,76,84,non-office hour
146,2011-01-07,spring,2011,1,8,0,Saturday,1,1,8.200000000000001,9.85,51.0,16.997899999999998,20,190,210,non-office hour
147,2011-01-07,spring,2011,1,9,0,Saturday,1,1,8.200000000000001,9.09,47.0,19.999499999999998,9,125,134,office hour
148,2011-01-07,spring,2011,1,10,0,Saturday,1,1,9.02,9.85,37.0,22.0028,16,47,63,office hour
149,2011-01-07,spring,2011,1,11,0,Saturday,1,2,8.200000000000001,9.85,40.0,15.001299999999999,19,48,67,office hour
150,2011-01-07,spring,2011,1,12,0,Saturday,1,2,8.200000000000001,9.85,37.0,16.997899999999998,9,50,59,office hour
151,2011-01-07,spring,2011,1,13,0,Saturday,1,2,8.200000000000001,9.09,37.0,19.0012,9,64,73,office hour
152,2011-01-07,spring,2011,1,14,0,Saturday,1,2,8.200000000000001,9.85,40.0,16.997899999999998,7,43,50,office hour
153,2011-01-07,spring,2011,1,15,0,Saturday,1,2,8.200000000000001,10.605,37.0,11.0014,9,63,72,office hour
154,2011-01-07,spring,2011,1,16,0,Saturday,1,2,8.200000000000001,10.605,37.0,11.0014,5,82,87,office hour
155,2011-01-07,spring,2011,1,17,0,Saturday,1,2,8.200000000000001,12.879999999999999,37.0,0.0,9,178,187,office hour
156,2011-01-07,spring,2011,1,18,0,Saturday,1,1,8.200000000000001,11.365,40.0,6.0032,7,116,123,non-office hour
157,2011-01-07,spring,2011,1,19,0,Saturday,1,1,6.5600000000000005,9.85,55.00000000000001,6.0032,3,92,95,non-office hour
158,2011-01-07,spring,2011,1,20,0,Saturday,1,1,7.38,10.605,47.0,7.0015,1,50,51,non-office hour
159,2011-01-07,spring,2011,1,21,0,Saturday,1,1,7.38,9.85,47.0,8.9981,0,39,39,non-office hour
160,2011-01-07,spring,2011,1,22,0,Saturday,1,2,7.38,9.85,43.0,11.0014,2,34,36,non-office hour
161,2011-01-07,spring,2011,1,23,0,Saturday,1,2,7.38,9.85,51.0,11.0014,1,14,15,non-office hour
162,2011-01-08,spring,2011,1,0,0,Sunday,0,2,7.38,9.85,51.0,11.0014,1,24,25,non-office hour
163,2011-01-08,spring,2011,1,1,0,Sunday,0,2,7.38,10.605,55.00000000000001,6.0032,1,15,16,non-office hour
164,2011-01-08,spring,2011,1,2,0,Sunday,0,2,7.38,12.120000000000001,55.00000000000001,0.0,3,13,16,non-office hour
165,2011-01-08,spring,2011,1,3,0,Sunday,0,3,7.38,9.85,55.00000000000001,11.0014,0,7,7,non-office hour
166,2011-01-08,spring,2011,1,4,0,Sunday,0,3,7.38,9.85,55.00000000000001,11.0014,0,1,1,non-office hour
167,2011-01-08,spring,2011,1,5,0,Sunday,0,2,6.5600000000000005,8.334999999999999,74.0,11.0014,0,5,5,non-office hour
168,2011-01-08,spring,2011,1,6,0,Sunday,0,2,6.5600000000000005,8.334999999999999,74.0,11.0014,0,2,2,non-office hour
169,2011-01-08,spring,2011,1,7,0,Sunday,0,2,6.5600000000000005,9.09,74.0,7.0015,1,8,9,non-office hour
170,2011-01-08,spring,2011,1,8,0,Sunday,0,3,6.5600000000000005,9.09,93.0,7.0015,0,15,15,non-office hour
171,2011-01-08,spring,2011,1,9,0,Sunday,0,3,6.5600000000000005,9.09,93.0,7.0015,0,20,20,office hour
172,2011-01-08,spring,2011,1,10,0,Sunday,0,2,7.38,9.85,80.0,11.0014,5,56,61,office hour
173,2011-01-08,spring,2011,1,11,0,Sunday,0,2,8.200000000000001,9.09,69.0,26.0027,2,60,62,office hour
174,2011-01-08,spring,2011,1,12,0,Sunday,0,2,8.200000000000001,9.09,59.0,23.9994,8,90,98,office hour
175,2011-01-08,spring,2011,1,13,0,Sunday,0,1,8.200000000000001,9.09,44.0,22.0028,7,95,102,office hour
176,2011-01-08,spring,2011,1,14,0,Sunday,0,1,8.200000000000001,8.334999999999999,32.0,32.9975,12,83,95,office hour
177,2011-01-08,spring,2011,1,15,0,Sunday,0,1,8.200000000000001,8.334999999999999,32.0,30.002599999999997,5,69,74,office hour
178,2011-01-08,spring,2011,1,16,0,Sunday,0,1,7.38,6.819999999999999,28.999999999999996,30.002599999999997,8,68,76,office hour
179,2011-01-08,spring,2011,1,17,0,Sunday,0,1,6.5600000000000005,6.0600000000000005,37.0,36.9974,5,64,69,office hour
180,2011-01-08,spring,2011,1,18,0,Sunday,0,1,5.74,6.0600000000000005,39.0,19.999499999999998,3,52,55,non-office hour
181,2011-01-08,spring,2011,1,19,0,Sunday,0,1,5.74,6.0600000000000005,36.0,16.997899999999998,4,26,30,non-office hour
182,2011-01-08,spring,2011,1,20,0,Sunday,0,1,4.92,6.0600000000000005,36.0,16.997899999999998,0,28,28,non-office hour
183,2011-01-08,spring,2011,1,21,0,Sunday,0,1,4.92,5.305,39.0,23.9994,2,35,37,non-office hour
184,2011-01-08,spring,2011,1,22,0,Sunday,0,1,4.92,5.305,36.0,26.0027,1,33,34,non-office hour
185,2011-01-08,spring,2011,1,23,0,Sunday,0,1,4.1000000000000005,3.0300000000000002,39.0,30.002599999999997,0,22,22,non-office hour
186,2011-01-09,spring,2011,1,0,0,Monday,0,1,4.1000000000000005,3.7900000000000005,42.0,26.0027,1,24,25,non-office hour
187,2011-01-09,spring,2011,1,1,0,Monday,0,1,4.1000000000000005,3.0300000000000002,42.0,31.0009,0,12,12,non-office hour
188,2011-01-09,spring,2011,1,2,0,Monday,0,1,4.1000000000000005,3.0300000000000002,46.0,31.0009,0,11,11,non-office hour
189,2011-01-09,spring,2011,1,3,0,Monday,0,1,4.1000000000000005,3.7900000000000005,46.0,27.999299999999998,0,4,4,non-office hour
190,2011-01-09,spring,2011,1,4,0,Monday,0,1,3.2800000000000002,4.545,53.0,12.998000000000001,0,1,1,non-office hour
191,2011-01-09,spring,2011,1,5,0,Monday,0,1,3.2800000000000002,4.545,53.0,12.998000000000001,0,1,1,non-office hour
192,2011-01-09,spring,2011,1,6,0,Monday,0,1,4.1000000000000005,4.545,49.0,19.0012,0,1,1,non-office hour
193,2011-01-09,spring,2011,1,7,0,Monday,0,1,3.2800000000000002,4.545,53.0,12.998000000000001,1,5,6,non-office hour
194,2011-01-09,spring,2011,1,8,0,Monday,0,1,4.1000000000000005,4.545,49.0,19.0012,0,10,10,non-office hour
195,2011-01-09,spring,2011,1,9,0,Monday,0,1,4.92,3.7900000000000005,46.0,35.0008,0,19,19,office hour
196,2011-01-09,spring,2011,1,10,0,Monday,0,1,5.74,5.305,43.0,26.0027,0,49,49,office hour
197,2011-01-09,spring,2011,1,11,0,Monday,0,1,6.5600000000000005,6.0600000000000005,40.0,35.0008,2,47,49,office hour
198,2011-01-09,spring,2011,1,12,0,Monday,0,1,7.38,6.819999999999999,37.0,30.002599999999997,4,79,83,office hour
199,2011-01-09,spring,2011,1,13,0,Monday,0,1,8.200000000000001,8.334999999999999,34.0,30.002599999999997,6,69,75,office hour
200,2011-01-09,spring,2011,1,14,0,Monday,0,1,9.02,9.09,32.0,31.0009,8,64,72,office hour
201,2011-01-09,spring,2011,1,15,0,Monday,0,1,9.02,9.85,35.0,23.9994,5,77,82,office hour
202,2011-01-09,spring,2011,1,16,0,Monday,0,1,8.200000000000001,8.334999999999999,34.0,30.002599999999997,13,79,92,office hour
203,2011-01-09,spring,2011,1,17,0,Monday,0,1,7.38,7.575,37.0,26.0027,3,59,62,office hour
204,2011-01-09,spring,2011,1,18,0,Monday,0,1,6.5600000000000005,6.819999999999999,40.0,22.0028,4,44,48,non-office hour
205,2011-01-09,spring,2011,1,19,0,Monday,0,1,6.5600000000000005,6.819999999999999,43.0,22.0028,1,40,41,non-office hour
206,2011-01-09,spring,2011,1,20,0,Monday,0,1,5.74,6.0600000000000005,46.0,16.997899999999998,0,38,38,non-office hour
207,2011-01-09,spring,2011,1,21,0,Monday,0,1,5.74,5.305,46.0,27.999299999999998,1,19,20,non-office hour
208,2011-01-09,spring,2011,1,22,0,Monday,0,1,5.74,6.0600000000000005,46.0,19.999499999999998,5,10,15,non-office hour
209,2011-01-09,spring,2011,1,23,0,Monday,0,1,4.92,6.819999999999999,50.0,12.998000000000001,0,6,6,non-office hour
210,2011-01-10,spring,2011,1,0,0,Tuesday,1,1,4.92,6.0600000000000005,50.0,19.0012,2,3,5,non-office hour
211,2011-01-10,spring,2011,1,1,0,Tuesday,1,1,4.92,6.0600000000000005,50.0,19.0012,1,0,1,non-office hour
212,2011-01-10,spring,2011,1,2,0,Tuesday,1,1,4.92,6.0600000000000005,50.0,15.001299999999999,0,3,3,non-office hour
213,2011-01-10,spring,2011,1,3,0,Tuesday,1,1,4.92,6.0600000000000005,50.0,15.001299999999999,0,1,1,non-office hour
214,2011-01-10,spring,2011,1,4,0,Tuesday,1,1,4.1000000000000005,6.0600000000000005,54.0,8.9981,1,2,3,non-office hour
215,2011-01-10,spring,2011,1,5,0,Tuesday,1,1,4.1000000000000005,5.305,54.0,16.997899999999998,0,3,3,non-office hour
216,2011-01-10,spring,2011,1,6,0,Tuesday,1,1,4.92,6.0600000000000005,50.0,19.0012,0,31,31,non-office hour
217,2011-01-10,spring,2011,1,7,0,Tuesday,1,1,4.92,6.0600000000000005,50.0,15.001299999999999,2,75,77,non-office hour
218,2011-01-10,spring,2011,1,8,0,Tuesday,1,2,4.92,6.0600000000000005,50.0,19.0012,4,184,188,non-office hour
219,2011-01-10,spring,2011,1,9,0,Tuesday,1,2,5.74,6.0600000000000005,50.0,16.997899999999998,2,92,94,office hour
220,2011-01-10,spring,2011,1,10,0,Tuesday,1,2,5.74,6.0600000000000005,50.0,19.999499999999998,0,31,31,office hour
